ProductKey;ProductAlternateKey;ProductSubcategoryName;ProductName;ProductCategoryName;Color;SizeRange;Description;Startday
210;FR-R92B-58;Road Frames;HL Road Frame - Black, 58;Components;Black;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/04/2008
211;FR-R92R-58;Road Frames;HL Road Frame - Red, 58;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/01/2008
212;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/02/2016
213;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/03/2017
214;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/04/2018
215;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/05/2016
216;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/06/2017
217;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/07/2018
218;SO-B909-M;Socks;Mountain Bike Socks, M;Clothing;White;M;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;01/08/2016
219;SO-B909-L;Socks;Mountain Bike Socks, L;Clothing;White;L;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;01/09/2016
220;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/04/2016
221;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/01/2017
222;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/02/2018
223;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/03/2016
224;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/04/2017
225;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/05/2018
226;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;01/06/2016
227;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017
228;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;01/08/2018
229;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;01/09/2016
230;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;01/04/2017
231;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;01/01/2018
232;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;01/02/2016
233;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;01/03/2017
234;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;01/04/2018
235;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;01/05/2016
236;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;01/06/2017
237;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018
238;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/08/2016
239;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/09/2017
240;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/04/2018
241;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/01/2016
242;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/02/2017
243;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/03/2018
244;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/04/2016
245;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/05/2017
246;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/06/2018
247;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/07/2016
248;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/08/2017
249;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/09/2018
250;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/04/2016
251;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/01/2017
252;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/02/2018
253;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/03/2016
254;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2017
255;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/05/2018
256;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/06/2016
257;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/07/2017
258;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/08/2018
259;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/09/2016
260;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2017
261;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/01/2018
262;FR-R38R-44;Road Frames;LL Road Frame - Red, 44;Components;Red;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/02/2016
263;FR-R38R-44;Road Frames;LL Road Frame - Red, 44;Components;Red;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/03/2017
264;FR-R38R-48;Road Frames;LL Road Frame - Red, 48;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2016
265;FR-R38R-48;Road Frames;LL Road Frame - Red, 48;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/05/2017
266;FR-R38R-52;Road Frames;LL Road Frame - Red, 52;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/06/2016
267;FR-R38R-52;Road Frames;LL Road Frame - Red, 52;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/07/2017
268;FR-R38R-58;Road Frames;LL Road Frame - Red, 58;Components;Red;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/08/2016
269;FR-R38R-58;Road Frames;LL Road Frame - Red, 58;Components;Red;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/09/2017
270;FR-R38R-60;Road Frames;LL Road Frame - Red, 60;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2016
271;FR-R38R-60;Road Frames;LL Road Frame - Red, 60;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/01/2017
272;FR-R38R-62;Road Frames;LL Road Frame - Red, 62;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/02/2016
273;FR-R38R-62;Road Frames;LL Road Frame - Red, 62;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/03/2017
274;FR-R72R-44;Road Frames;ML Road Frame - Red, 44;Components;Red;42-46 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;01/04/2016
275;FR-R72R-48;Road Frames;ML Road Frame - Red, 48;Components;Red;48-52 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;01/05/2016
276;FR-R72R-52;Road Frames;ML Road Frame - Red, 52;Components;Red;48-52 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;01/06/2016
277;FR-R72R-58;Road Frames;ML Road Frame - Red, 58;Components;Red;54-58 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;01/07/2016
278;FR-R72R-60;Road Frames;ML Road Frame - Red, 60;Components;Red;60-62 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;01/08/2016
279;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/09/2016
280;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2017
281;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/01/2018
282;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/02/2016
283;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/03/2017
284;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/04/2018
285;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/05/2016
286;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/06/2017
287;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;01/07/2018
288;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/08/2016
289;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/09/2017
290;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/04/2018
291;FR-M94S-44;Mountain Frames;HL Mountain Frame - Silver, 44;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/01/2016
292;FR-M94S-52;Mountain Frames;HL Mountain Frame - Silver, 48;Components;Silver;48-52 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/02/2016
293;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/03/2016
294;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/04/2017
295;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/05/2018
296;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/06/2016
297;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/07/2017
298;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/08/2018
299;FR-M94B-44;Mountain Frames;HL Mountain Frame - Black, 44;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/09/2016
300;FR-M94B-48;Mountain Frames;HL Mountain Frame - Black, 48;Components;Black;48-52 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/04/2016
301;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/01/2016
302;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/02/2017
303;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/03/2018
304;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/04/2016
305;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/05/2017
306;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/06/2018
307;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/07/2016
308;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/08/2017
309;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;01/09/2018
310;BK-R93R-62;Road Bikes;Road-150 Red, 62;Bikes;Red;60-62 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;01/04/2016
311;BK-R93R-44;Road Bikes;Road-150 Red, 44;Bikes;Red;42-46 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;01/01/2016
312;BK-R93R-48;Road Bikes;Road-150 Red, 48;Bikes;Red;48-52 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;01/02/2016
313;BK-R93R-52;Road Bikes;Road-150 Red, 52;Bikes;Red;48-52 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;01/03/2016
314;BK-R93R-56;Road Bikes;Road-150 Red, 56;Bikes;Red;54-58 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;01/04/2016
315;BK-R68R-58;Road Bikes;Road-450 Red, 58;Bikes;Red;54-58 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;01/05/2016
316;BK-R68R-60;Road Bikes;Road-450 Red, 60;Bikes;Red;60-62 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;01/06/2016
317;BK-R68R-44;Road Bikes;Road-450 Red, 44;Bikes;Red;42-46 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;01/07/2016
318;BK-R68R-48;Road Bikes;Road-450 Red, 48;Bikes;Red;48-52 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;01/08/2016
319;BK-R68R-52;Road Bikes;Road-450 Red, 52;Bikes;Red;48-52 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;01/09/2016
320;BK-R50R-58;Road Bikes;Road-650 Red, 58;Bikes;Red;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;01/04/2016
321;BK-R50R-58;Road Bikes;Road-650 Red, 58;Bikes;Red;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;01/01/2017
322;BK-R50R-60;Road Bikes;Road-650 Red, 60;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;01/02/2016
323;BK-R50R-60;Road Bikes;Road-650 Red, 60;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;01/03/2017
